Dataset,Algorithm,Hyper-parameter name,Hyper-parameter value,Metric name,Metric value,Num clusters
TV News Channel Commercial Detection Dataset,Agglomerative,n_clusters,2.0,VRC,23787.541798119903,2
TV News Channel Commercial Detection Dataset,Agglomerative,n_clusters,2.0,Silhouette,0.3117111223753001,2
TV News Channel Commercial Detection Dataset,Agglomerative,n_clusters,2.0,SSE-Elbow,2283654.598912714,2
TV News Channel Commercial Detection Dataset,Agglomerative,n_clusters,2.0,DB,1.4651934942782816,2
TV News Channel Commercial Detection Dataset,Agglomerative,n_clusters,2.0,BIC,2283885.6376625453,2
TV News Channel Commercial Detection Dataset,Agglomerative,n_clusters,7.0,VRC,12453.574346886891,7
TV News Channel Commercial Detection Dataset,Agglomerative,n_clusters,7.0,Silhouette,0.15268045094989025,7
TV News Channel Commercial Detection Dataset,Agglomerative,n_clusters,7.0,SSE-Elbow,1357051.7046256035,7
TV News Channel Commercial Detection Dataset,Agglomerative,n_clusters,7.0,DB,1.6006882606469262,7
TV News Channel Commercial Detection Dataset,Agglomerative,n_clusters,7.0,BIC,1357891.7658397078,7
TV News Channel Commercial Detection Dataset,Agglomerative,n_clusters,12.0,VRC,9677.3523255671,12
TV News Channel Commercial Detection Dataset,Agglomerative,n_clusters,12.0,Silhouette,0.14448650065030416,12
TV News Channel Commercial Detection Dataset,Agglomerative,n_clusters,12.0,SSE-Elbow,1103293.0276936728,12
TV News Channel Commercial Detection Dataset,Agglomerative,n_clusters,12.0,DB,1.5137409036683669,12
TV News Channel Commercial Detection Dataset,Agglomerative,n_clusters,12.0,BIC,1104740.9681330142,12
TV News Channel Commercial Detection Dataset,Agglomerative,n_clusters,17.0,VRC,8052.565250381696,17
TV News Channel Commercial Detection Dataset,Agglomerative,n_clusters,17.0,Silhouette,0.13012768820243176,17
TV News Channel Commercial Detection Dataset,Agglomerative,n_clusters,17.0,SSE-Elbow,943494.5062569844,17
TV News Channel Commercial Detection Dataset,Agglomerative,n_clusters,17.0,DB,1.7236432662547168,17
TV News Channel Commercial Detection Dataset,Agglomerative,n_clusters,17.0,BIC,945552.9529124642,17
TV News Channel Commercial Detection Dataset,Agglomerative,n_clusters,22.0,VRC,7023.623017185206,22
TV News Channel Commercial Detection Dataset,Agglomerative,n_clusters,22.0,Silhouette,0.08615868440261075,22
TV News Channel Commercial Detection Dataset,Agglomerative,n_clusters,22.0,SSE-Elbow,855214.0869726522,22
TV News Channel Commercial Detection Dataset,Agglomerative,n_clusters,22.0,DB,1.7806880502611642,22
TV News Channel Commercial Detection Dataset,Agglomerative,n_clusters,22.0,BIC,857882.915394624,22
TV News Channel Commercial Detection Dataset,Agglomerative,n_clusters,27.0,VRC,6282.510728075718,27
TV News Channel Commercial Detection Dataset,Agglomerative,n_clusters,27.0,Silhouette,0.08749371405373609,27
TV News Channel Commercial Detection Dataset,Agglomerative,n_clusters,27.0,SSE-Elbow,799688.9706754826,27
TV News Channel Commercial Detection Dataset,Agglomerative,n_clusters,27.0,DB,1.7991102042797007,27
TV News Channel Commercial Detection Dataset,Agglomerative,n_clusters,27.0,BIC,802966.3792891527,27
TV News Channel Commercial Detection Dataset,Agglomerative,n_clusters,32.0,VRC,5741.426217014021,32
TV News Channel Commercial Detection Dataset,Agglomerative,n_clusters,32.0,Silhouette,0.08761380444020175,32
TV News Channel Commercial Detection Dataset,Agglomerative,n_clusters,32.0,SSE-Elbow,750916.2839515816,32
TV News Channel Commercial Detection Dataset,Agglomerative,n_clusters,32.0,DB,1.7883836527137165,32
TV News Channel Commercial Detection Dataset,Agglomerative,n_clusters,32.0,BIC,754803.941601262,32
TV News Channel Commercial Detection Dataset,Agglomerative,n_clusters,37.0,VRC,5247.823144131402,37
TV News Channel Commercial Detection Dataset,Agglomerative,n_clusters,37.0,Silhouette,0.0851616544471681,37
TV News Channel Commercial Detection Dataset,Agglomerative,n_clusters,37.0,SSE-Elbow,706227.0851142157,37
TV News Channel Commercial Detection Dataset,Agglomerative,n_clusters,37.0,DB,1.8103333128825752,37
TV News Channel Commercial Detection Dataset,Agglomerative,n_clusters,37.0,BIC,710723.8832609656,37
TV News Channel Commercial Detection Dataset,Agglomerative,n_clusters,42.0,VRC,4851.816229261176,42
TV News Channel Commercial Detection Dataset,Agglomerative,n_clusters,42.0,Silhouette,0.08248895550407061,42
TV News Channel Commercial Detection Dataset,Agglomerative,n_clusters,42.0,SSE-Elbow,678777.6032106648,42
TV News Channel Commercial Detection Dataset,Agglomerative,n_clusters,42.0,DB,1.78006632933842,42
TV News Channel Commercial Detection Dataset,Agglomerative,n_clusters,42.0,BIC,683884.2720021209,42
